Compound,Synonyme,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Vector Fingerprint,Binding
EFROTOMYCIN,EFROTOMYCIN|MK-621,3,1145.35,0,0,6,0.0,-1.5,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,1 0 1 0 1 1 1 1 1 1,1
ARIMOCLOMOL CITRATE,ARIMOCLOMOL CITRATE,1,46.74,2,2,6,0.0,-7.32,Cc1ccc(C(=O)OCC2=CCC([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)C=C2)c(C)c1,0 1 1 1 1 1 0 0 1 0,1
RAZUPROTAFIB,AKB-9778|RAZUPROTAFIB,0,406.39,0,0,7,12.89,-5.03,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1 1 0 1 1 1 1 1 0 0,0
EFAPROXIRAL SODIUM,EFAPROXIRAL SODIUM|RSR13 SODIUM,1,327.84,2,0,6,0.0,-7.87,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1 1 1 1 1 0 1 1 1 1,0
MITRATAPIDE,MITRATAPIDE|R103757,1,463.35,2,2,3,40.46,-1.33,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21.O=S(=O)(O)O,1 1 1 0 0 1 1 0 0 0,0
EFLUCIMIBE,EFLUCIMIBE,2,574.15,1,1,6,42.24,-1.5,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0 1 0 1 0 1 0 0 1 0,0
PAMAPIMOD,JTT-705|PAMAPIMOD|R-1503|R1503|Ro-4402257,3,386.48,0,2,7,17.07,-7.32,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,0 1 1 1 0 1 1 1 1 1,0
FASUDIL HYDROCHLORIDE,FASUDIL HYDROCHLORIDE|Fasudil,2,1178.70,2,0,7,0.0,-5.03,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,1 0 1 1 0 1 0 1 1 1,1
EFLETIRIZINE DIHYDROCHLORIDE,EFLETIRIZINE DIHYDROCHLORIDE|UCB 28754,1,529.53,0,1,6,0.0,-7.87,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1 1 1 0 0 0 1 0 1 0,1
BALAMAPIMOD,BALAMAPIMOD|MKI-833,3,806.96,0,2,8,12.89,-1.33,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0 0 1 0 0 0 0 1 1 1,0
EFAROXAN,EFAROXAN|Efaroxan,3,465.55,0,0,6,0.0,-1.5,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,1 1 1 1 1 0 0 1 0 0,0
VEROSUDIL HYDROCHLORIDE,AR-12286|VEROSUDIL HYDROCHLORIDE,1,744.91,2,1,5,40.46,-7.32,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,0 1 1 0 1 0 0 0 1 1,0
EFIPLADIB,EFIPLADIB|PLA-902,0,1030.30,0,2,6,42.24,-5.03,N#CC(c1ccnc(OCc2ccc(CN3CCOCC3)cc2)n1)c1nc2ccccc2s1,1 0 0 0 1 1 0 0 1 1,0
PONATINIB,AP24534|ICLUSIG|PONATINIB,1,520.50,2,0,6,17.07,-7.87,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,0 0 1 0 1 1 1 0 0 0,0
OLACAFTOR,OLACAFTOR|VX-440,1,447.54,2,0,7,0.0,-1.33,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0 0 0 0 1 1 1 1 1 0,0
EFLORNITHINE,EFLORNITHINE|Eflornithine|Ornidyl|Vaniqa,2,482.63,1,1,6,0.0,-1.5,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1,1 1 0 0 1 0 1 1 0 1,0
CRIZOTINIB,CRIZOTINIB|PF-02341066|PF-2341066|XALKORI,3,452.41,0,0,3,12.89,-7.32,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0 0 1 1 1 0 0 1 1 1,0
BOSUTINIB,BOSULIF|BOSUTINIB|BOSUTINIB MONOHYDRATE|SK-606|SKI-606,2,531.32,2,0,6,0.0,-5.03,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,1 1 1 1 1 0 0 0 0 1,1
ARIMOCLOMOL,ARIMOCLOMOL|BRX-220 FREE BASE,1,540.02,0,0,7,40.46,-7.87,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,0 1 1 0 1 1 0 1 1 1,0
SORAFENIB,BAY 43-9006|NEXAVAR|SORAFENIB|Sorafenib,3,513.01,0,2,7,42.24,-1.33,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,0 1 0 0 1 1 1 1 1 1,0
ROCACETRAPIB,CKD-519|ROCACETRAPIB,3,297.79,0,0,6,17.07,-1.5,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,0 0 1 1 1 1 1 0 1 1,0
SELUMETINIB,ARRY-142886|ARRY-886|AZD-6244|AZD6244|SELUMETINIB,1,572.63,2,0,8,0.0,-7.32,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,1 1 1 0 1 1 1 0 1 1,1
NETARSUDIL,AR-11324 FREE BASE|AR-13324|NETARSUDIL,0,559.47,0,2,6,0.0,-5.03,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1 1 0 1 1 1 1 1 1 1,0
TIVOZANIB,ASP-4130|AV-951|FOTIVDA|KIL8951|KRN-951|Kil-8951|TIVOZANIB,1,557.05,2,1,5,12.89,-7.87,Cc1cc(F)ccc1-c1nc(NC(CO)CO)nc2c1ccc(=O)n2-c1c(F)cccc1F,0 0 1 0 1 1 0 0 1 1,0
MIDOSTAURIN,CGP 41251|MIDOSTAURIN|NVP-PKC412|PKC 412|PKC-412|RYDAPT,1,406.42,2,2,6,0.0,-1.33,COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,1 1 0 1 1 1 1 0 0 1,0
SELUMETINIB SULFATE,AZD6244 HYD-SULFATE|AZD6244 HYDROGEN SULFATE|SELUMETINIB SULFATE,2,488.02,1,0,6,40.46,-1.5,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1.C[S+](C)[O-],1 1 1 1 1 0 1 1 0 1,0
ABEMACICLIB,ABEMACICLIB|LY-2835219|LY2835219|VERZENIO|VERZENIOS,3,558.15,0,1,7,42.24,-7.32,C[C@H]1CN(C(=O)c2cc3c(C(=O)C(=O)N(C)C)cn(C)c3cc2Cl)[C@H](C)CN1Cc1ccc(F)cc1,0 1 1 1 1 0 0 1 0 1,0
VEMURAFENIB,PLX-4032|PLX4032|RG 7204|RO 5185426|RO-51-85426|VEMURAFENIB|ZELBORAF,2,306.37,2,2,6,17.07,-5.03,OC(CO/N=C(\Cl)c1cccnc1)CN1CCCCC1,1 0 1 1 1 1 0 1 1 0,0
BINIMETINIB,ARRY 438162|ARRY-162|ARRY-438162|BINIMETINIB|MEK-162|MEK162|MEKTOVI|NVP-MEK162,1,539.64,0,0,3,0.0,-7.87,COC(=O)[C@H](c1ccccc1)N1CCC(c2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2)CC1,0 1 1 0 1 1 0 1 1 1,1
AFATINIB,AFATINIB|BIBW2992|GILOTRIF|GIOTRIF,3,389.61,0,1,6,0.0,-1.33,O=C(O)c1ccc([C@H]2C[C@@H](NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c3ccc(OC(F)F)cc3O2)cc1,1 1 1 0 1 1 0 1 0 0,0
ACUMAPIMOD,ACUMAPIMOD|Acumapimod|BCT-197,3,364.41,0,2,7,12.89,-1.5,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1 1 1 0 1 1 1 1 0 1,1
IBRUTINIB,CRA-032765|IBRUTINIB|IMBRUVICA|PC-32765|PCI 32765|PCI-32765|PCI-32765-00,1,502.60,2,0,7,0.0,-7.32,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,1 1 1 1 1 1 0 1 0 1,1
GRANOTAPIDE,GRANOTAPIDE|JTT-130,0,437.53,0,0,6,40.46,-5.03,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1 1 1 0 1 1 1 0 0 0,1
LOSMAPIMOD,GSK-AHAB|GW-856553|GW-856553X|GW856553X|LOSMAPIMOD,1,527.67,2,1,8,42.24,-7.87,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,1 1 1 1 1 1 1 1 1 0,1
ELEXACAFTOR,ELEXACAFTOR|VX-445,1,469.95,2,0,6,17.07,-1.33,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,1 0 0 1 1 0 0 1 0 1,0
DEUTIVACAFTOR,CTP-656|DEUTIVACAFTOR|VX-561,2,475.36,1,0,5,0.0,-1.5,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,1 1 1 1 0 1 0 0 1 0,1
EFINACONAZOLE,EFINACONAZOLE|IDP-108|JUBLIA|KP-103,3,457.56,0,0,6,0.0,-7.32,CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1,0 1 0 1 1 1 0 0 1 1,1
ICOTINIB,BPI-2009H|ICOTINIB,2,409.53,2,2,6,12.89,-5.03,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,1 1 0 0 1 1 0 1 1 1,0
PEXMETINIB,ARRY-614|PEXMETINIB|Pexmetinib,1,990.22,0,0,7,0.0,-7.87,Cc1cc(Oc2ccc3nc(COc4ccc(CC5SC(=O)NC5=O)cc4)n(C)c3c2)cc(C)c1N,1 1 1 0 1 0 1 1 0 1,1
IVACAFTOR,IVACAFTOR|KALYDECO|VX-770,3,488.02,0,0,6,40.46,-1.33,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1 1 1 0 1 0 1 0 1 0,1
EFAVIRENZ,EFAVIRENZ|Efavirenz|SUSTIVA|SUSTIVA 600|Sustiva,3,558.15,0,2,3,42.24,-1.5,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0 1 1 1 1 1 1 1 0 0,0
ONALESPIB LACTATE,AT-13387 LACTATE|ATI13387A|ATI13387AU|ONALESPIB LACTATE,1,306.37,2,1,6,17.07,-7.32,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1 1 1 1 1 1 1 1 1 1,1
OBICETRAPIB,AMG-899|DEZ-001|OBICETRAPIB|TA-8995,0,539.64,0,2,7,0.0,-5.03,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,0 1 1 0 1 1 1 1 1 0,1
VEROSUDIL,AR-12286|AR-12286 FREE BASE|VEROSUDIL,1,389.61,2,0,7,0.0,-7.87,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,1 1 1 1 1 1 1 0 0 1,0
BAMOCAFTOR,BAMOCAFTOR|VX-659|VX659,1,364.41,2,1,6,12.89,-1.33,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,1 0 1 0 1 0 1 0 1 1,0
VELIFLAPON,BAY X 1005|BAY-X-005|DG-031|VELIFLAPON,2,502.60,1,2,8,0.0,-1.5,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,1 1 1 1 1 1 0 1 1 1,0
Propiconazole,,0,180.36848760787603,1,3,7,202.31999999999996,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1 0 1 1 1 1 1 1 0 1,1
Formothion,,4,299.8310493132266,8,3,7,202.31999999999996,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1 0 1 1 1 1 1 1 0 1,1
4-methylpteridine,,0,79.25988675972295,6,4,2,96,-3,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,1 1 1 1 1 1 0 1 1 1,0
Thiourea,,4,49.96474766488049,8,0,1,112,7,CCCCCC=O,1 1 0 1 1 0 0 1 1 1,0
p-Xylene ,,0,60.77822196680156,1,6,12,98,5,CCCCOC(=O)c1ccc(N)cc1,1 0 0 1 0 0 1 1 1 1,0
"1,2-Diethylbenzene",,3,348.72675440989457,9,4,4,84,3,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,1 1 0 1 1 1 1 0 0 1,0
Hexachloroethane,,3,155.39683842588556,0,2,10,97,6,CC(C)=CCC/C(C)=C\CO,1 0 1 0 1 1 0 0 1 1,0
Flucythrinate,,5,121.09609222965688,7,0,5,71,3,Clc1ccc(cc1)c2ccccc2Cl ,1 1 0 1 1 1 1 0 1 1,1
1-Nitropropane,,1,234.5000894314096,8,5,3,81,6,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1 1 0 1 0 1 1 1 1 1,1
Menthone,,5,336.86760506281126,8,3,3,113,8,CCN(=O)=O,1 1 1 1 1 1 1 1 0 1,1
RTI 24,,0,228.8904191088378,4,0,10,77,8,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,1 1 1 0 1 1 1 0 1 1,0
chlorquinox,,2,206.58569598417125,2,0,3,81,-4,Clc1ccc(Cl)c(Cl)c1Cl,1 1 1 1 1 0 0 0 1 0,1
L-arabinose,,3,328.672899980889,3,0,2,68,7,CCCC(C)(COC(N)=O)COC(N)=O ,1 1 1 1 1 1 1 1 0 0,1
Dichloromethane,,5,220.29571297114717,3,3,8,7,2,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,1 1 1 0 1 1 1 0 0 0,1
1-Ethylnaphthalene ,,5,81.28543867604918,5,6,10,29,4,CI,0 1 1 0 1 0 1 1 1 0,0
Methyl formate,,5,268.60110336442494,4,2,4,15,-2,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,0 0 1 1 0 0 0 0 1 0,0
o-Nitrophenol,,4,198.12488058337715,5,5,11,90,3,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,0 1 0 1 1 1 1 1 0 1,0
thymine,,4,159.0846703740539,8,3,5,80,5,CC1=CC(=O)CC(C)(C)C1 ,1 0 1 0 0 1 1 0 1 1,0
2-Methylpropane,,2,162.39308370502297,5,6,9,118,-4,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,0 0 1 1 0 0 1 0 1 1,0
Inosine,,1,215.68411289088908,2,5,9,108,-5,CCCCC(=O)CCCC,0 0 1 0 0 1 1 1 1 0,1
Ioxynil,,3,76.90329500190352,9,6,3,8,-1,CCC1(CCC(=O)NC1=O)c2ccccc2 ,0 1 1 0 1 0 0 0 1 1,1
Niclosamide,,0,207.59840899196553,0,6,9,106,8,CCC(C)CC,1 0 0 1 1 1 1 1 1 0,0
Pentane,,2,278.44583790533545,1,5,8,108,-5,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,0 0 0 1 1 0 1 0 1 1,1
Phenol,,5,171.7477706035877,1,0,9,15,2,Cc1ccccc1n3c(C)nc2ccccc2c3=O,1 0 0 1 1 1 0 1 1 1,1
Anilofos,,4,298.42544229483485,0,2,6,32,-1,ClCC#N,1 1 0 1 1 0 1 0 0 0,0
Hexylbenzene ,,2,171.40226673147248,6,4,3,12,0,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,0 1 1 0 1 1 1 0 1 0,0
2-Chlorobiphenyl,,5,31.655964114067956,1,2,8,49,4,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,1 1 1 0 1 1 1 0 0 0,1
2-Methyl-1-Pentene,,0,271.7891982624161,0,5,6,99,4,c1ccnnc1,1 1 1 1 1 0 1 1 1 0,0
"2,3,4-Trimethylpentane",,1,131.34700636548132,9,3,8,52,2,Clc1cc(Cl)c(Cl)c(Cl)c1,1 0 1 1 1 1 0 1 1 0,0
Pentachlorobenzene,,1,186.2825300517545,0,2,9,35,-5,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,1 1 0 0 1 1 1 1 1 1,0
m-Nitrophenol,,1,339.4348673576062,3,4,7,110,6,Nc1ccccc1O,1 0 1 1 1 0 1 0 1 1,1
1-Decene,,0,190.8384312395502,0,1,4,2,0,CCCCCCCCC(=O)OCC,1 1 1 1 0 1 1 0 1 0,1
Glyceryl triacetate,,4,304.25602790351854,7,4,0,42,-5,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,1 1 0 1 1 1 0 0 0 0,1
dimethirimol,,1,110.9370641252811,2,6,6,12,-3,CNC(=O)Oc1ccccc1OC(C)C,1 0 1 1 0 1 1 1 0 0,1
Cyfluthrin,,4,334.34521110520416,2,0,8,46,1,CCC(C)Cl,1 1 1 1 0 0 0 1 1 1,1
m-Chloroiodobenzene,,0,301.0524162010972,8,5,1,115,8,Oc1ccc2ccccc2c1,1 1 0 1 0 0 1 1 0 1,0
1-Bromonapthalene,,3,146.84580902818567,5,6,3,7,-4,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,1 0 0 1 1 1 1 1 1 1,0
trans-2-Pentene ,,4,211.9692345240384,0,1,8,2,7,CCCCC#C,1 1 1 1 1 1 1 1 1 1,1
"2,6-Dimethylpyridine",,3,222.63410810504047,5,6,0,73,-1,CCCCCCCC#C,1 0 0 0 1 0 0 1 1 1,1
Trichloroethylene,,4,169.0957708547342,1,0,6,16,-2,Cc1ccccc1Cl,1 1 0 0 0 0 0 0 1 1,0
1-Napthylamine,,3,283.11101125200264,8,2,4,9,7,CC(C)OC(C)C,1 1 1 1 1 1 1 0 1 1,1
m-Xylene ,,2,72.35102297355809,3,6,10,105,8,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1 1 1 1 1 0 1 1 1 1,1
2-hydroxypteridine,,4,118.18155627461138,2,1,3,82,3,CNN,0 1 1 0 1 0 1 1 0 0,0
1-Chloropentane,,2,282.1440591324092,4,3,5,21,6,CC#C,1 1 1 0 1 0 1 1 1 1,1
"1,3-Butadiene",,2,191.8177201837943,4,2,1,86,-1,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,1 0 1 0 0 0 0 0 1 0,1
Propyl acetate,,1,278.677742237584,9,2,0,96,0,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,1 1 1 1 0 1 0 1 0 1,0
"5,6,7,8-tetrahydro-2-naphthol",,5,256.05559409374735,7,1,9,60,-1,C=CC=O,0 1 1 1 1 0 1 1 1 1,0
chloroacetamide,,1,307.2301347290916,6,5,7,57,6,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1 0 1 1 1 1 0 1 0 1,1
Iodofenphos,,5,319.2293827849721,4,0,5,13,-3,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1 1 1 1 1 0 1 0 1 0,1
4-Chlorotoluene,,2,331.81749656795654,4,4,2,87,8,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1 1 1 0 1 1 1 1 0 0,0
Metribuzin,,1,214.93469507122592,2,0,5,56,-3,Cc1ccc(cc1N(=O)=O)N(=O)=O,1 1 0 0 0 1 0 1 1 1,1
Tricresyl phosphate,,4,75.84035240457834,4,6,8,59,3,c1c(Br)ccc2ccccc12 ,1 1 0 0 1 0 1 1 1 1,1
Caproaldehyde,,2,162.90035470649687,8,4,0,82,7,CNC(=O)Oc1cccc(N=CN(C)C)c1,1 1 1 1 1 1 1 1 0 0,0
Butamben,,3,323.9293406058698,5,1,11,80,-3,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0 0 0 1 1 0 1 1 0 0,0
RTI 3,,0,83.34352606016736,2,3,12,58,-5,OC1CCCCC1,1 1 0 1 0 0 1 0 0 1,1
Nerol,,4,147.62047596751307,7,1,8,20,3,O=C1NC(=O)NC(=O)C1(C)CC=C,1 1 1 0 1 1 0 0 0 1,0
